dexnum,name,poppoint,wellknown,legendary,recent,sets,gen,prime,destype
486,레지기가스,0,0,1,0,239,4,1,humanoid
487,기라티나,10,0,1,0,240,4,1,ghost
488,크레세리아,0,0,1,0,241,4,1,cute
489,피오네,0,0,1,0,242,4,0,cute
490,마나피,0,0,1,0,242,4,1,cute
491,다크라이,9,0,1,0,243,4,1,humanoid
492,쉐이미,5,0,1,0,244,4,1,grass
493,아르세우스,11,0,1,0,245,4,1,dragon
494,비크티니,10,0,1,0,246,5,1,cute
495,주리비얀,5,0,0,0,247,5,1,long
496,샤비,0,0,0,0,247,5,0,long
497,샤로다,8,0,0,0,247,5,1,long
498,뚜꾸리,0,0,0,0,248,5,1,animal
499,차오꿀,0,0,0,0,248,5,0,animal
500,염무왕,0,0,0,0,248,5,1,animal
501,수댕이,7,0,0,0,249,5,1,animal
502,쌍검자비,0,0,0,0,249,5,0,animal
503,대검귀,4,0,0,0,249,5,1,animal
504,보르쥐,0,0,0,0,250,5,1,animal
505,보르그,0,0,0,0,250,5,0,animal
506,요테리,0,0,0,0,251,5,0,doglike
507,하데리어,0,0,0,0,251,5,0,doglike
508,바랜드,0,0,0,0,251,5,1,doglike
509,쌔비냥,0,0,0,0,252,5,1,catlike
510,레파르다스,0,0,0,0,252,5,0,catlike
511,야나프,0,0,0,0,253,5,1,animal
512,야나키,0,0,0,0,253,5,0,animal
513,바오프,0,0,0,0,254,5,1,animal
514,바오키,0,0,0,0,254,5,0,animal
515,앗차프,0,0,0,0,255,5,1,animal
516,앗차키,0,0,0,0,255,5,0,animal
517,몽나,0,0,0,0,256,5,1,cute
518,몽얌나,0,0,0,0,256,5,0,cute
519,콩둘기,0,0,0,0,257,5,1,bird
520,유토브,0,0,0,0,257,5,0,bird
521,켄호로우,0,0,0,0,257,5,1,bird
522,줄뮤마,0,0,0,0,258,5,0,animal
523,제브라이카,0,0,0,0,258,5,1,animal
524,단굴,0,0,0,0,259,5,0,mineral
525,암트르,0,0,0,0,259,5,0,mineral
526,기가이어스,0,0,0,0,259,5,1,mineral
527,또르박쥐,0,0,0,0,260,5,0,bird
528,맘박쥐,0,0,0,0,260,5,1,bird
529,두더류,0,0,0,0,261,5,0,animal
530,몰드류,3,0,0,0,261,5,1,animal
531,다부니,0,0,0,0,262,5,1,cute
532,으랏차,0,0,0,0,263,5,1,humanoid
533,토쇠골,0,0,0,0,263,5,0,humanoid
534,노보청,0,0,0,0,263,5,1,humanoid
535,동챙이,0,0,0,0,264,5,1,water
536,두까비,0,0,0,0,264,5,1,water
537,두빅굴,0,0,0,0,264,5,0,water
538,던지미,0,0,0,0,265,5,1,humanoid
539,타격귀,0,0,0,0,266,5,1,humanoid
540,두르보,0,0,0,0,267,5,1,bug
541,두르쿤,0,0,0,0,267,5,1,bug
542,모아머,0,0,0,0,267,5,1,bug
543,마디네,0,0,0,0,268,5,1,bug
544,휠구,0,0,0,0,268,5,0,bug
545,펜드라,4,0,0,0,268,5,1,bug
546,소미안,0,0,0,0,269,5,0,cute
547,엘풍,5,0,0,0,269,5,1,cute
548,치릴리,0,0,0,0,270,5,0,grass
549,드레디어,3,0,0,0,270,5,1,grass
550,배쓰나이,0,0,0,0,271,5,1,fish
551,깜눈크,0,0,0,0,272,5,1,animal
552,악비르,0,0,0,0,272,5,0,animal
553,악비아르,5,0,0,0,272,5,1,animal
554,달막화,0,0,0,0,273,5,1,monster
555,불비달마,0,0,0,0,273,5,1,monster
556,마라카치,0,0,0,0,274,5,1,grass
557,돌살이,0,0,0,0,275,5,0,bug
558,암팰리스,0,0,0,0,275,5,1,bug
559,곤율랭,0,0,0,0,276,5,1,humanoid
560,곤율거니,0,0,0,0,276,5,1,humanoid
561,심보러,0,0,0,0,277,5,1,mineral
562,데스마스,0,0,0,0,278,5,0,ghost
563,데스니칸,0,0,0,0,278,5,1,ghost
564,프로토가,0,0,0,0,279,5,0,animal
565,늑골라,0,0,0,0,279,5,1,animal
566,아켄,0,0,0,0,280,5,0,dragon
567,아케오스,0,0,0,0,280,5,1,dragon
568,깨봉이,0,0,0,0,281,5,1,amorph
569,더스트나,0,0,0,0,281,5,0,amorph
570,조로아,5,0,0,0,282,5,1,cute
571,조로아크,11,0,0,0,282,5,1,cute
